RedField(Td)          PowerField(eVm^3s^-1) PwrElaGain(eVm^3s^-1) PwrElaLoss(eVm^3s^-1) PwrElaNet(eVm^3s^-1)  PwrCARGain(eVm^3s^-1) PwrCARLoss(eVm^3s^-1) PwrCARNet(eVm^3s^-1)  PwrEleGain(eVm^3s^-1) PwrEleLoss(eVm^3s^-1) PwrEleNet(eVm^3s^-1)  PwrVibGain(eVm^3s^-1) PwrVibLoss(eVm^3s^-1) PwrVibNet(eVm^3s^-1)  PwrRotGain(eVm^3s^-1) PwrRotLoss(eVm^3s^-1) PwrRotNet(eVm^3s^-1)  PwrIon(eVm^3s^-1)     PwrAtt(eVm^3s^-1)     PwrGroth(eVm^3s^-1)   PwrBalance(eVm^3s^-1) RelPwrBalance         
+2.56340740929651e-03 +1.16302015559807e-23 +9.59981372214792e-20 -6.10715506817909e-20 +3.49265865396883e-20 +8.60511446853098e-21 -5.68833891853557e-21 +2.91677554999540e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56426830367822e-23 -4.71671489395297e-20 -4.71015062564929e-20 +1.25818296447333e-19 -1.16571782482072e-19 +9.24651396526112e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +7.84816452337799e-33 3.40486102643930e-12%
+2.63537051926740e-03 +1.22923620479777e-23 +9.59981357158718e-20 -6.10716058161175e-20 +3.49265298997543e-20 +8.60511158830449e-21 -5.68834142092342e-21 +2.91677016738107e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56426952677163e-23 -4.71677306596564e-20 -4.71020879643887e-20 +1.25818281412233e-19 -1.16571785877008e-19 +9.24649553522578e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +2.05352280320289e-32 8.90901336420797e-12%
+2.70935386573205e-03 +1.29922223705456e-23 +9.59981341245539e-20 -6.10716640887040e-20 +3.49264700358499e-20 +8.60510854415021e-21 -5.68834406574533e-21 +2.91676447840488e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56427081947717e-23 -4.71683455011228e-20 -4.71027027929280e-20 +1.25818265521346e-19 -1.16571789465044e-19 +9.24647605630164e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -1.03518734510814e-33 4.49104860020174e-13%
+2.78541416324177e-03 +1.37319289488827e-23 +9.59981324426462e-20 -6.10717256781193e-20 +3.49264067645270e-20 +8.60510532674362e-21 -5.68834686110549e-21 +2.91675846563813e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56427218575470e-23 -4.71689953498026e-20 -4.71033526279451e-20 +1.25818248725977e-19 -1.16571793257145e-19 +9.24645546883191e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +8.18520226364575e-34 3.55105062208642e-13%
+2.86360971850812e-03 +1.45137504142022e-23 +9.59981306649930e-20 -6.10717907731037e-20 +3.49263398918893e-20 +8.60510192622807e-21 -5.68834981556974e-21 +2.91675211065833e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56427362978985e-23 -4.71696821990057e-20 -4.71040394627078e-20 +1.25818230974661e-19 -1.16571797264905e-19 +9.24643370975660e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.06166888184346e-32 4.60590637758303e-12%
+2.94400047510004e-03 +1.53400845615072e-23 +9.59981287861441e-20 -6.10718595731342e-20 +3.49262692130098e-20 +8.60509833218600e-21 -5.68835293819128e-21 +2.91674539399472e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56427515600638e-23 -4.71704081555421e-20 -4.71047654039820e-20 +1.25818212213003e-19 -1.16571801500575e-19 +9.24641071242801e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.20611362767251e-32 5.23254209795805e-12%
+3.02664805939569e-03 +1.62134657035067e-23 +9.59981268003399e-20 -6.10719322890268e-20 +3.49261945113131e-20 +8.60509453360820e-21 -5.68835623853780e-21 +2.91673829507040e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56427676907935e-23 -4.71711754461912e-20 -4.71055326785004e-20 +1.25818192383518e-19 -1.16571805977104e-19 +9.24638640641394e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +4.81482486096809e-34 2.08883147818013e-13%
+3.11161582782436e-03 +1.71365724432277e-23 +9.59981247014928e-20 -6.10720091435799e-20 +3.49261155579129e-20 +8.60509051886086e-21 -5.68835972672067e-21 +2.91673079214019e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56427847394917e-23 -4.71719864245301e-20 -4.71063436397906e-20 +1.25818171425451e-19 -1.16571810708164e-19 +9.24636071728753e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -6.76482892966017e-33 2.93479681819394e-12%
+3.19896891543454e-03 +1.81122358891611e-23 +9.59981224831688e-20 -6.10720903722634e-20 +3.49260321109054e-20 +8.60508627564828e-21 -5.68836341342636e-21 +2.91672286222192e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56428027583724e-23 -4.71728435781703e-20 -4.71072007754119e-20 +1.25818149274596e-19 -1.16571815708208e-19 +9.24633356638855e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -6.90927367548921e-33 2.99744920336288e-12%
+3.28877428582551e-03 +1.91434483381392e-23 +9.59981201385677e-20 -6.10721762239316e-20 +3.49259439146361e-20 +8.60508179097651e-21 -5.68836730994869e-21 +2.91671448102782e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56428218026150e-23 -4.71737495363817e-20 -4.71081067145791e-20 +1.25818125863095e-19 -1.16571820992504e-19 +9.24630487059109e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.41074368426365e-32 6.12020071571473e-12%
+3.38110078248069e-03 +2.02333724525733e-23 +9.59981176605031e-20 -6.10722669616024e-20 +3.49258506989007e-20 +8.60507705111092e-21 -5.68837142822434e-21 +2.91670562288658e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56428419305420e-23 -4.71747070781959e-20 -4.71090642362653e-20 +1.25818101119230e-19 -1.16571826577197e-19 +9.24627454203281e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +7.29445966436666e-33 3.16452611849120e-12%
+3.47601918154198e-03 +2.13853509602006e-23 +9.59981150413788e-20 -6.10723628632245e-20 +3.49257521781543e-20 +8.60507204154003e-21 -5.68837578086729e-21 +2.91669626067274e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56428632037784e-23 -4.71757191408730e-20 -4.71100762776692e-20 +1.25818074967209e-19 -1.16571832479326e-19 +9.24624248788242e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +5.05556610401649e-34 2.19322528409715e-13%
