RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+2.42532274176035e-03 +2.90004398324471e+22 +1.76991316818790e+24 +4.29261065774724e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06790196369124e+21 +7.28261214083810e+22 +2.46143581411228e-02 +1.63852331027848e-02 +1.64095720940819e-02 
+2.49340936995188e-03 +2.90004636049243e+22 +1.76991318863227e+24 +4.41311812853711e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06790368788040e+21 +7.28261822168902e+22 +2.46143781784727e-02 +1.63852463449549e-02 +1.64095854523152e-02 
+2.56340740929651e-03 +2.90004887305687e+22 +1.76991321024060e+24 +4.53700863694253e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06790551021542e+21 +7.28262464867215e+22 +2.46143993563795e-02 +1.63852603408878e-02 +1.64095995709196e-02 
+2.63537051926740e-03 +2.90005152863899e+22 +1.76991323307914e+24 +4.66437715611802e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06790743628205e+21 +7.28263144148617e+22 +2.46144217397527e-02 +1.63852751334806e-02 +1.64096144931685e-02 
+2.70935386573205e-03 +2.90005433537782e+22 +1.76991325721793e+24 +4.79532132545380e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06790947198381e+21 +7.28263862095025e+22 +2.46144453971944e-02 +1.63852907680703e-02 +1.64096302647963e-02 
+2.78541416324177e-03 +2.90005730187430e+22 +1.76991328273100e+24 +4.92994152542866e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06791162355945e+21 +7.28264620906523e+22 +2.46144704012002e-02 +1.63853072925667e-02 +1.64096469341335e-02 
+2.86360971850812e-03 +2.90006043721929e+22 +1.76991330969659e+24 +5.06834095456402e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06791389760301e+21 +7.28265422908507e+22 +2.46144968283946e-02 +1.63853247576088e-02 +1.64096645522631e-02 
+2.94400047510004e-03 +2.90006375102081e+22 +1.76991333819739e+24 +5.21062570853899e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06791630108369e+21 +7.28266270558664e+22 +2.46145247597616e-02 +1.63853432167162e-02 +1.64096831731744e-02 
+3.02664805939569e-03 +2.90006725343302e+22 +1.76991336832078e+24 +5.35690486152658e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06791884136687e+21 +7.28267166454378e+22 +2.46145542808882e-02 +1.63853627264507e-02 +1.64097028539255e-02 
+3.11161582782436e-03 +2.90007095518724e+22 +1.76991340015915e+24 +5.50729054981365e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06792152623670e+21 +7.28268113340674e+22 +2.46145854822262e-02 +1.63853833465889e-02 +1.64097236548175e-02 
+3.19896891543454e-03 +2.90007486762514e+22 +1.76991343381014e+24 +5.66189805776865e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06792436392010e+21 +7.28269114118701e+22 +2.46146184593719e-02 +1.63854051403072e-02 +1.64097456395813e-02 
+3.28877428582551e-03 +2.90007900273307e+22 +1.76991346937694e+24 +5.82084590622309e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06792736311167e+21 +7.28270171854517e+22 +2.46146533133553e-02 +1.63854281743728e-02 +1.64097688755702e-02 
+3.38110078248069e-03 +2.90008337317957e+22 +1.76991350696858e+24 +5.98425594333460e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06793053300084e+21 +7.28271289788681e+22 +2.46146901509566e-02 +1.63854525193533e-02 +1.64097934339711e-02 
+3.47601918154198e-03 +2.90008799235238e+22 +1.76991354670036e+24 +6.15225343800145e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06793388329896e+21 +7.28272471345721e+22 +2.46147290850177e-02 +1.63854782498219e-02 +1.64098193900118e-02 
+3.57360224606579e-03 +2.90009287440031e+22 +1.76991358869411e+24 +6.32496717589964e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06793742426952e+21 +7.28273720144854e+22 +2.46147702347955e-02 +1.63855054445911e-02 +1.64098468231970e-02 
+3.67392478180207e-03 +2.90009803427708e+22 +1.76991363307858e+24 +6.50252955821675e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06794116675984e+21 +7.28275040011178e+22 +2.46148137263310e-02 +1.63855341869572e-02 +1.64098758175540e-02 
+3.77706369453937e-03 +2.90010348778524e+22 +1.76991367998989e+24 +6.68507670315840e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06794512223332e+21 +7.28276434986935e+22 +2.46148596928201e-02 +1.63855645649442e-02 +1.64099064618801e-02 
+3.88309804905961e-03 +2.90010925162601e+22 +1.76991372957187e+24 +6.87274855030433e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06794930280521e+21 +7.28277909344238e+22 +2.46149082750330e-02 +1.63855966715820e-02 +1.64099388500220e-02 
+3.99210912974805e-03 +2.90011534344892e+22 +1.76991378197655e+24 +7.06568896789551e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06795372127896e+21 +7.28279467597787e+22 +2.46149596217330e-02 +1.63856306051824e-02 +1.64099730811553e-02 
+4.10418050290471e-03 +2.90012178190728e+22 +1.76991383736460e+24 +7.26404586313303e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06795839118612e+21 +7.28281114519035e+22 +2.46150138901440e-02 +1.63856664696490e-02 +1.64100092600960e-02 
+4.21939808080503e-03 +2.90012858671203e+22 +1.76991389590587e+24 +7.46797129557537e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06796332682600e+21 +7.28282855149990e+22 +2.46150712464041e-02 +1.63857043747753e-02 +1.64100474976027e-02 
+4.33785018755899e-03 +2.90013577869556e+22 +1.76991395777984e+24 +7.67762159371854e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06796854331137e+21 +7.28284694819522e+22 +2.46151318661039e-02 +1.63857444366022e-02 +1.64100879107359e-02 
